#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-25T10:51:43 [V7.5.3]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2025-11-25T10:51:43   Query execution date
#INFO request=https://vizier.cds.unistra.fr/viz-bin/asu-txt?-source=I/355/gaiadr3&-c=M45&-c.rm=120&-c.geom=r&-out=RA_ICRS,DE_ICRS,Gmag,Source&-out.max=5000&Gmag=&lt;14   Full request URL
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.5.3   Software version
#INFO publisher=CDS   Data centre that produced the VOTable
#INFO -c=056.658333+24.178056,rm=120. 
#Constraint Gmag=<14

#RESOURCE=yCat_1355
#Name: I/355
#Title: Gaia DR3 Part 1. Main source (Gaia Collaboration, 2022)
#INFO ivoid=ivo://cds.vizier/i/355     IVOID of underlying data collection     
#INFO creator=Gaia collaboration     First author or institution     
#INFO cites=bibcode:2022yCat.1355....0G     Bibcode of the dataset     
#INFO original_date=2022     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/355     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.1355     Dataset identifier that can be used for citation     
#INFO publication_date=2024-12-12     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Coosys H_2016.000: ICRS     
#Table I_355_gaiadr3:
#Name: I/355/gaiadr3
#Title: Gaia DR3 source catalog (1811709771 sources)
#---Details of Columns:
    RA_ICRS (deg) (F15.11) Right ascension (ICRS) at Ep=2016.0 (ra) [ucd=pos.eq.ra;meta.main]
    DE_ICRS (deg) (F15.11) Declination (ICRS) at Ep=2016.0 (dec) [ucd=pos.eq.dec;meta.main]
    Gmag (mag)    (F9.6)  ? G-band mean magnitude (phot_g_mean_mag) [ucd=phot.mag;em.opt]
    Source        (I19)   Unique source identifier (unique within a particular Data Release) (source_id) [ucd=meta.id;meta.main]
--------------- --------------- --------- -------------------
055.17564692680 +22.76960443668 12.754955   64661797793181952
055.20649271727 +22.78412579573 13.526045   64661939528530176
055.31663071654 +22.88053105304 13.064390   64664104192038912
055.08965856765 +22.81433920361 12.062611   64664958889111040
055.22448316727 +22.88587000737 12.869148   64667295351319168
055.14635252130 +22.92969576180 13.628516   64668261720271360
055.21442209008 +22.95883853691 13.986576   64668570957910400
055.03829910196 +22.87568165062 13.605970   64713101178855680
055.02301290659 +22.98115619224 11.923170   64715021028491520
055.09577829032 +22.94572288154 13.342796   64715364625295104
055.11326070577 +22.99319131403 13.905437   64715953037121280
055.12757794198 +23.02380784704 13.492625   64716846390315264
054.98836277504 +23.00041949275 13.755867   64718014621429376
054.98897990902 +22.99948228971 13.687240   64718014621429504
054.93967364651 +23.06438081045 11.968575   64719419075000960
055.03169197684 +23.04198543671 12.285615   64719659593170048
054.99537882609 +23.10791998408 12.860641   64721377580086528
054.87405974064 +23.03335830595 13.244072   64730624645414144
054.86807272803 +23.04723762709 12.843254   64730693364889856
054.87132418114 +23.09077599059 13.983839   64731483638866304
054.83353293238 +23.08913740582 12.814614   64732166537934592
054.94814392346 +23.17855992559 13.630830   64734331201450496
054.90596814892 +23.20708651369 11.516041   64734679094523904
054.89496667808 +23.24757881099 13.449706   64738011989144320
054.81647647156 +23.27428868481 13.888519   64739042781295872
056.37393187845 +22.22154073534 13.868805   64743269029603840
056.32477969693 +22.23146614105 13.487514   64743406468558720
056.27272145210 +22.23118199506 12.964659   64746082231396224
056.25713005229 +22.25597497266 12.252040   64746361406060288
056.28116862947 +22.29333502094  9.040839   64746876802129920
056.23371813828 +22.26931519395  9.496667   64747117320304128
056.20947802573 +22.29277185535 13.216062   64747460917686016
056.27999172867 +22.29534412847 13.025957   64747632716373760
056.42384050824 +22.19292191107 13.969863   64748045033237248
056.44678227986 +22.22897102918 12.723949   64748285551401088
056.47144157429 +22.24972460166 13.359087   64748697868259328
056.50143012511 +22.26706390928 13.417664   64748766587731712
056.44745063249 +22.30980850028 13.394180   64749934818834560
056.52761998101 +22.34507772353 13.805532   64751137409668096
056.44088576833 +22.34428281503 12.312422   64751687165487104
056.50907344481 +22.36752110525 13.249318   64751962043386880
056.49482808705 +22.36935325351 11.913510   64751962043387904
056.49639539898 +22.39491166617 11.018782   64752266984297088
056.49736096553 +22.39357224602 13.970963   64752271281030528
056.38981074070 +22.33146404515 12.776814   64753027195288832
056.43080512301 +22.40109777029 10.775310   64755054419841408
056.18776791341 +22.29559283368 12.760075   64759173291712768
056.13620337606 +22.38170350165 13.824426   64760964294761472
055.97153925735 +22.28774107292 11.030586   64761307892160256
055.96813723577 +22.30695858632 13.429138   64761548410328576
056.04648906767 +22.32396242351 10.990417   64761823288232704
056.06573789291 +22.33988220083 13.750698   64761960727183232
055.94285467358 +22.34808753275 11.566444   64762751001170048
056.06235757476 +22.36265479265 13.489254   64763506915407232
056.10360278033 +22.38943632996 12.273388   64763609994616960
056.10865799610 +22.39816947759 10.750575   64763987951737728
056.08468838698 +22.46939780022 12.257235   64765289325136000
056.24133693486 +22.39037386997 13.898006   64765946456917504
056.25919096681 +22.40906925089 12.827455   64766079599120640
056.28353269970 +22.41015768361 13.731590   64766255694557824
056.26433761304 +22.43862565808 13.299885   64766564932200320
056.23666480538 +22.43243225516 13.453013   64766908529587200
056.18538645193 +22.44763557984 13.028778   64767217767133312
056.26754806910 +22.47726551935 13.429653   64767527004870400
056.29958866089 +22.51607795902 12.879148   64769348070998144
056.36528605469 +22.56129220731 12.709818   64769726028112640
056.17434992232 +22.46434600241 10.590920   64770241424108032
056.19446658889 +22.49168405035 12.428139   64770653740963072
056.09415875777 +22.49184963922 13.278841   64771409655214848
056.29297204079 +22.60366601430 10.631983   64773196361582464
056.24181103167 +22.65273777015 13.843694   64774364592685440
056.55839885493 +22.42286463127 13.184764   64775635903116416
056.57058023392 +22.41744771786 13.445238   64775670262854400
056.66110642183 +22.51769198264 12.027003   64777968068634112
056.64348527021 +22.53159084393 13.211794   64778247243214720
056.67882885209 +22.52064949445 13.656240   64778350322428800
056.70772768424 +22.55155106525 12.849698   64778487761378304
056.50557180630 +22.46988046850 13.319275   64779140596427520
056.50782354148 +22.55530215255 10.328717   64780892943075456
056.63185045578 +22.54342995225 13.231509   64781202180713472
056.61099163814 +22.55316167900 12.467292   64781232243777920
056.57317795635 +22.53876070117 12.617254   64781305259933312
056.59874221838 +22.54604102773 13.491721   64781339619668992
056.62933773172 +22.57551584791 12.873721   64781850719067904
056.65162342010 +22.60954378072 13.740658   64782026814428032
056.64392488759 +22.61645393970 13.510731   64782095533904256
056.72952855574 +22.57136358013 13.864682   64784397636701952
056.86633960366 +22.59937881312 13.107238   64785428428605568
056.86845178533 +22.63908068494 13.222799   64785840745464832
056.83832995899 +22.66945895438 13.559290   64786734098569216
056.68462933214 +22.59404670320 12.861806   64787627451781760
056.74217485368 +22.68476289927 13.671743   64788623884183424
056.74355642566 +22.71812508025 11.632899   64790170072406528
056.42680101615 +22.52408227092 11.968102   64792021201617664
056.46936282236 +22.57502110552 11.267761   64792678333336192
056.46642327445 +22.62165571837 13.709222   64793090650285696
056.37271348962 +22.59355373096 13.293689   64793429950888192
056.40375922452 +22.63098264125 10.660830   64794052722867328
056.53250667118 +22.68258654254 12.819002   64795147937814528
056.50701509291 +22.69145153024 13.466498   64795942508466304
056.35308573475 +22.64587360404 13.307428   64796870221415424
056.35539017516 +22.70855778788 13.761068   64798278970576128
056.31422002549 +22.69540983824 11.680569   64798347690057472
056.41633572295 +22.69426514986  7.800061   64798691287540224
056.42165898639 +22.68925327324 11.839113   64798691287540608
056.63295723827 +22.73760933226 11.556896   64801440066594944
056.61141519671 +22.79410207005 13.189121   64802677017171584
056.57504753098 +22.79421442888 12.999746   64802810159469184
056.72201785398 +22.88074839356 11.554062   64804841680675200
056.71401567322 +22.88340555460 13.639154   64804910400152192
056.65452354426 +22.87282748362 13.243611   64805013479369984
056.53165969382 +22.79658896821 13.896169   64805460155983616
056.43502122966 +22.83871834243 11.473860   64806662746721920
056.53853345589 +22.86116934365 13.031720   64807006344203776
056.58692861040 +22.88727518470 11.570127   64807899697395456
056.66006365314 +22.91958420692  9.306278   64808204638390912
056.63273933952 +22.90072311518 13.375187   64808243294775168
056.63819014959 +22.92115655872 12.114112   64808380733727616
056.57273327696 +22.95927352466 12.379183   64809445885616640
055.92119591011 +22.43592900110 13.543945   64810545397233152
055.94580294634 +22.45827207590 13.257875   64810682836182784
055.88917504980 +22.43706228557  8.219108   64811266951740672
056.02019674024 +22.52149025779 12.808229   64812847499687424
055.82946025521 +22.44905775053 11.793763   64814045795106944
055.82934131306 +22.44895409989 12.052189   64814050089186048
055.82044899950 +22.47179666471 11.960772   64814221889240576
055.87203144940 +22.52818840108 13.867421   64815012163213440
055.76695723210 +22.49909509110 12.151068   64815214026211200
055.93102821338 +22.60396048618 12.994499   64817241249576832
055.87600515519 +22.57867835900 13.788282   64817451704630912
055.85008390677 +22.59925876824 13.520389   64817726582536960
056.09208085169 +22.57657662235 10.692752   64819238411012608
056.14781245826 +22.60493481825 11.961379   64820681520017024
056.19167078759 +22.63704350276 13.526274   64820849022104064
056.20892631340 +22.64251378311 13.429363   64821162556344576
056.15085860518 +22.66221230149 13.502150   64821884110851200
056.13319604878 +22.72291338776 13.113073   64822635728494720
056.14976284838 +22.72623393024 13.994920   64822743104305152
055.96792142487 +22.69966079898 11.742707   64824735969144320
056.03262325560 +22.72445468885 13.009747   64826110358670336
056.01731432904 +22.73732567208 12.120441   64826179078532608
056.06897484032 +22.77672171460 11.762280   64826763193693184
056.05220279008 +22.81020243832 13.165503   64827038071597184
055.70236440145 +22.54395718534 13.746140   64827484748248960
055.72504717004 +22.61878594576 12.265732   64828962216989312
055.74314310813 +22.61826015372 13.969540   64828996576726528
055.81118157093 +22.63580665617 13.480051   64829821210440832
055.81259856340 +22.73746611223 11.658173   64831573557085824
055.65939750342 +22.61153701743 11.466459   64831745355801728
055.59589759804 +22.65875321074 13.407871   64832810507590656
055.72601648192 +22.67673599469 13.987515   64833806940091776
055.71887552185 +22.72328454989 13.634995   64834219256946304
055.73277523137 +22.75733451437 11.773018   64834700293278976
055.72502307842 +22.82796416911 12.823282   64835971603517312
055.89722527023 +22.70322260337 13.297284   64836109042548736
055.87166965704 +22.73438824922  9.766249   64837139834697984
055.87212431405 +22.73461112565  8.885260   64837242912474624
055.86806120875 +22.78778140156 13.094912   64837998828148480
056.04232564234 +22.81337858236 13.113201   64838789102119168
055.99372184072 +22.88279428364 12.283519   64840266570863616
056.00218875688 +22.89745312578 11.974569   64840296634010624
055.84583147839 +22.83854235591 12.231633   64841263003289344
055.79633600101 +22.84227082296 10.664441   64841744039628288
055.85044007453 +22.87303078074 13.970757   64842225076131328
055.79750392196 +22.86878550883 11.051395   64842362514916992
055.79038543537 +22.87586337009 13.722044   64842431234393472
055.91880391129 +22.90084526407 13.783829   64843427666796544
056.24542012723 +22.69892377386 13.532194   64844905135549696
056.25666980558 +22.72229571340  9.546719   64845210076602624
056.25592356675 +22.72227108213 10.047335   64845214373192064
056.24321793969 +22.75409302633 12.751889   64846073366647552
056.23011521949 +22.80919977574 13.949746   64846829280886144
056.38006792298 +22.84921418288 12.094775   64847958855667968
056.28507607214 +22.80392530341 12.356294   64848165014099584
056.39229939730 +22.91691489015 10.998305   64854899522816128
056.41075245672 +22.94224401324 10.155368   64855522294672000
056.52195568293 +22.98141924341 13.413954   64856312568645248
056.58580533498 +22.98301400454 13.334288   64856484367441024
056.58296476825 +23.00961592141 12.763569   64856587446786688
056.53520805673 +22.97762836153 10.665344   64856621806396160
056.49820308838 +22.99067420498 13.819861   64857068482889728
056.49732930783 +23.02987212080 13.175444   64857755677653248
056.29805004391 +22.95284787808 10.761651   64858339793222272
056.31838909227 +22.96256281969 12.527254   64858374152957952
056.45052688219 +23.03455525518 13.479476   64860367017771008
056.40445772603 +23.05094197100 12.048109   64860573176201984
056.41318074011 +23.05827451126 12.432693   64860671958858624
056.39718094409 +23.09546802146 12.272154   64861737110747264
055.94173080628 +23.01013251985 12.548312   64868304117360384
056.06874829216 +23.13629728144 12.867655   64871121615889664
056.29851297393 +23.07743669293 10.885021   64871946249604480
056.20276696309 +23.10331989226 13.963724   64872805243065856
056.36210379170 +23.11469791705 11.850533   64873556860745344
056.30857186832 +23.12255447582  9.604366   64873767315733632
056.35409464215 +23.19229202590 10.457687   64875244784904704
